	group_id	metric_value	users	visits	churn_users	churn_visits	group
63	2	5670.0	1	2	1	5	A
64	11	4562.976	1	6	0	8	B
65	6	6352.0	0	0	1	9	A
66	9	6897.976	0	0	0	8	B
67	3	8368.0	1	11	1	4	A
68	10	6409.976	0	0	1	9	B
69	5	7522.0	1	2	1	5	A
70	5	6715.0	0	0	1	9	A
71	8	8102.0	1	0	0	5	A
72	9	5220.976	1	19	0	8	B
73	3	8185.0	0	0	0	7	A
74	1	5111.0	1	4	0	8	A
75	8	5725.0	0	0	0	8	A
76	9	7766.976	1	28	1	6	B
77	15	5874.976	0	0	1	9	B
78	3	9106.0	1	4	1	7	A
79	13	5727.976	1	7	1	5	B
80	6	5054.0	0	0	1	8	A
81	10	5662.976	0	0	1	9	B
82	6	5558.0	0	0	1	9	A
83	16	8060.976	1	13	0	6	B
84	2	6576.0	1	3	1	5	A
85	15	5788.976	0	0	1	3	B
86	8	3276.0	1	4	1	1	A
87	2	6783.0	1	9	0	5	A
88	15	4970.976	1	4	1	5	B
89	16	7727.976	1	0	1	5	B
90	3	6197.0	0	0	1	8	A
91	13	7066.976	1	18	1	6	B
92	9	5259.976	0	0	0	4	B
93	9	4531.976	1	1	1	5	B
94	2	4521.0	1	4	0	7	A
95	8	4405.0	0	0	1	7	A
96	3	10666.0	0	0	0	5	A
97	15	8276.976	0	0	0	7	B
98	14	2862.976	1	5	1	4	B
99	14	5447.976	1	4	1	9	B
100	14	4441.976	0	0	0	6	B
101	4	4828.0	1	5	1	9	A
102	2	4200.0	1	20	0	6	A
103	12	9887.976	1	5	0	8	B
104	9	4350.976	0	0	1	9	B
105	14	6778.976	0	0	1	7	B
106	14	5215.976	1	1	0	9	B
107	11	8347.976	1	1	1	7	B
108	3	5645.0	0	0	0	4	A
109	12	4433.976	1	3	1	6	B
110	11	6886.976	1	30	1	5	B
111	8	5304.0	1	6	1	9	A
112	7	5077.0	1	15	1	7	A
113	4	6055.0	0	0	0	8	A
114	4	5532.0	1	15	1	4	A
115	10	4870.976	1	4	0	9	B
116	2	2820.0	1	5	0	7	A
117	7	3610.0	0	0	1	9	A
118	13	4056.976	1	12	1	9	B
119	2	3652.0	0	0	0	5	A
120	14	3309.976	1	1	1	9	B
121	15	9507.976	1	15	0	6	B
122	2	5863.0	0	0	0	7	A
123	7	5971.0	1	18	1	3	A
124	4	2580.0	1	3	1	9	A
125	5	8120.0	1	19	1	6	A
126	3	3256.0	0	0	1	9	A
127	6	5481.0	1	3	1	7	A
128	1	4716.0	0	0	1	7	A
129	4	8212.0	1	31	1	8	A
130	10	5467.976	1	3	1	5	B
131	5	5346.0	0	0	1	7	A
132	12	9667.976	0	0	0	9	B
133	14	6872.976	0	0	1	6	B
134	1	7094.0	0	0	0	9	A
135	1	5618.0	0	0	1	9	A
136	14	7058.976	0	0	1	7	B
137	14	5764.976	1	4	1	7	B
138	4	7389.0	0	0	1	7	A
139	1	5868.0	0	0	0	9	A
140	7	3947.0	0	0	0	6	A
141	3	4451.0	0	0	0	7	A
142	15	6684.976	0	0	1	7	B
143	4	5689.0	1	12	0	6	A
144	9	10000.976	1	10	0	9	B
145	2	6348.0	0	0	1	8	A
146	4	5754.0	1	5	0	7	A
147	15	5862.976	1	24	0	5	B
148	8	9318.0	0	0	0	9	A
149	10	7049.976	1	15	1	6	B
150	12	4734.976	1	9	1	9	B
151	14	7774.976	0	0	1	7	B
152	15	5744.976	1	25	1	7	B
153	8	8072.0	1	24	0	8	A
154	3	5377.0	0	0	1	8	A
155	6	9203.0	0	0	0	8	A
156	11	7213.976	0	0	0	4	B
157	14	6305.976	0	0	1	3	B
158	7	6387.0	1	3	1	9	A
159	8	4872.0	1	2	0	9	A
160	16	6765.976	1	6	1	6	B
161	5	8057.0	1	0	0	6	A
162	2	5257.0	0	0	0	4	A
163	8	5625.0	1	2	0	6	A
164	11	7295.976	1	5	1	8	B
165	13	7738.976	0	0	1	5	B
166	9	7469.976	1	11	1	8	B
167	11	4691.976	0	0	1	8	B
168	10	6881.976	0	0	0	8	B
169	6	7444.0	1	17	1	8	A
170	1	3312.0	1	5	1	7	A
171	12	7154.976	0	0	1	9	B
172	16	6909.976	0	0	1	7	B
173	4	6875.0	1	10	0	8	A
174	11	7823.976	1	12	1	7	B
175	2	7229.0	0	0	1	8	A
176	12	6172.976	1	11	1	9	B
177	11	6777.976	1	26	0	9	B
178	10	5499.976	1	0	1	7	B
179	13	10129.976	1	6	1	8	B
180	12	8489.976	1	15	1	8	B
181	3	8909.0	0	0	1	6	A
182	12	5282.976	1	8	1	9	B
183	8	5407.0	0	0	1	7	A
184	8	4221.0	0	0	0	8	A
185	15	7874.976	1	3	1	9	B
186	14	5283.976	1	2	1	7	B
187	14	8814.976	0	0	0	4	B
188	15	9087.976	1	2	1	8	B
189	9	6111.976	1	3	1	9	B
190	1	4146.0	1	10	0	8	A
191	16	4992.976	0	0	1	9	B
192	10	6221.976	1	7	1	9	B
193	7	5609.0	1	1	0	8	A
194	11	7982.976	0	0	1	9	B
195	2	5537.0	0	0	1	9	A
196	8	7552.0	0	0	0	7	A
197	10	8274.976	0	0	1	5	B
198	16	6318.976	1	11	1	4	B
199	3	7223.0	0	0	1	4	A
200	5	5986.0	0	0	0	7	A
201	16	5588.976	1	20	1	4	B
202	1	5075.0	1	4	0	7	A
203	4	9177.0	0	0	1	6	A
204	15	8343.976	1	13	1	9	B
205	4	4694.0	1	3	1	6	A
206	4	5796.0	1	7	1	8	A
207	9	9195.976	1	17	1	9	B
208	10	8755.976	0	0	1	9	B
209	7	3441.0	0	0	1	9	A
210	8	6943.0	1	8	1	6	A
211	14	3023.976	1	12	1	8	B
212	16	3692.976	1	5	1	9	B
213	11	8344.976	1	17	1	9	B
214	4	6066.0	0	0	0	1	A
215	9	4427.976	0	0	1	5	B
216	16	5210.976	1	44	1	3	B
217	14	6538.976	1	2	1	9	B
218	6	3051.0	1	25	1	2	A
219	4	7536.0	0	0	0	5	A
220	9	7569.976	1	1	1	8	B
221	10	5517.976	1	8	1	7	B
222	4	5155.0	0	0	1	5	A
223	13	6147.976	1	2	1	7	B
224	2	5643.0	0	0	0	8	A
225	13	8428.976	1	0	1	4	B
226	14	7882.976	0	0	1	7	B
227	13	5196.976	0	0	1	6	B
228	10	3219.976	0	0	1	8	B
229	8	1559.0	0	0	1	2	A
230	16	7585.976	1	3	1	8	B
231	9	6136.976	1	3	1	5	B
232	3	5475.0	0	0	0	4	A
233	16	9508.976	0	0	0	9	B
234	3	7825.0	0	0	1	9	A
235	8	5125.0	0	0	0	8	A
236	9	7847.976	1	7	1	8	B
237	4	6340.0	1	7	1	9	A
238	16	7407.976	1	3	1	5	B
239	14	7592.976	0	0	0	8	B
240	11	5042.976	1	6	1	4	B
241	13	8248.976	1	18	1	3	B
242	16	2806.976	0	0	1	4	B
243	16	4863.976	0	0	1	4	B
244	10	7453.976	0	0	0	9	B
245	9	6965.976	1	1	1	4	B
246	16	8300.976	0	0	1	7	B
247	4	6076.0	0	0	1	5	A
248	6	3284.0	0	0	0	4	A
249	11	4930.976	0	0	1	9	B
250	14	5371.976	1	3	1	9	B
251	8	4920.0	1	0	0	3	A
252	10	2225.976	1	2	1	9	B
253	4	4293.0	0	0	1	2	A
254	5	5473.0	0	0	0	5	A
255	10	4672.976	0	0	1	4	B
256	9	8121.976	1	4	1	8	B
257	10	2783.976	0	0	1	7	B
258	11	7020.976	1	4	1	9	B
259	7	6102.0	1	28	1	6	A
260	12	9418.976	1	8	1	4	B
261	3	8020.0	1	11	1	5	A
262	13	6885.976	0	0	1	8	B
263	16	4771.976	0	0	1	9	B
264	13	9484.976	1	9	1	9	B
265	5	6451.0	1	2	1	6	A
266	7	3409.0	1	1	0	9	A
267	6	5844.0	0	0	1	5	A
268	3	6039.0	0	0	1	8	A
269	14	7323.976	1	3	1	9	B
270	16	6738.976	0	0	1	8	B
271	10	8885.976	1	6	0	9	B
272	5	7015.0	1	23	0	9	A
273	16	7336.976	1	7	1	9	B
274	4	5678.0	0	0	0	6	A
275	7	3805.0	0	0	0	9	A
276	13	3285.976	1	5	1	8	B
277	13	4966.976	0	0	1	9	B
278	12	2882.976	1	7	1	8	B
279	12	5778.976	0	0	1	9	B
280	15	7482.976	1	12	0	6	B
281	5	6213.0	0	0	1	8	A
282	9	7186.976	1	7	1	8	B
283	13	6640.976	0	0	1	8	B
284	9	5385.976	0	0	1	7	B
285	13	7651.976	1	6	0	7	B
286	6	7985.0	1	3	1	7	A
287	13	6200.976	0	0	1	8	B
288	6	3963.0	0	0	1	8	A
289	10	2952.976	0	0	1	9	B
290	2	9155.0	1	7	1	6	A
291	13	5947.976	0	0	1	9	B
292	16	3631.976	0	0	0	9	B
293	15	6310.976	0	0	1	7	B
294	12	5693.976	1	9	1	8	B
295	6	3464.0	0	0	0	9	A
296	8	7361.0	1	1	0	9	A
297	14	7351.976	1	0	0	7	B
298	2	10073.0	1	13	0	7	A
299	6	5728.0	1	5	1	7	A
300	4	5879.0	1	5	0	6	A
301	11	9753.976	0	0	1	5	B
302	5	3214.0	1	7	1	9	A
303	10	8695.976	1	14	1	7	B
304	4	6308.0	0	0	0	7	A
305	12	7752.976	0	0	1	6	B
306	5	5069.0	0	0	1	7	A
307	7	4222.0	0	0	1	7	A
308	15	7157.976	0	0	1	7	B
309	5	8580.0	0	0	0	9	A
310	7	3313.0	1	17	1	5	A
311	6	7177.0	0	0	0	9	A
312	5	7625.0	0	0	1	4	A
313	8	3637.0	0	0	0	5	A
314	4	4928.0	1	11	0	9	A
315	1	8238.0	0	0	1	9	A
316	7	6906.0	0	0	1	6	A
317	8	5990.0	1	1	1	5	A
318	11	9099.976	1	2	1	7	B
319	10	4031.976	0	0	1	5	B
320	12	7388.976	1	13	1	8	B
321	8	4829.0	0	0	1	7	A
322	5	6257.0	0	0	0	7	A
323	11	5083.976	1	8	1	9	B
324	9	5983.976	1	8	1	9	B
325	16	6403.976	1	16	1	5	B
326	6	2777.0	1	0	0	8	A
327	11	5766.976	1	0	1	8	B
328	3	4766.0	0	0	0	7	A
329	10	4541.976	1	17	1	4	B
330	13	5202.976	1	2	1	9	B
331	5	4209.0	1	13	1	5	A
332	8	4706.0	0	0	1	9	A
333	9	8199.976	0	0	1	8	B
334	2	7698.0	1	3	0	8	A
335	14	5148.976	1	1	0	3	B
336	3	6553.0	1	2	0	4	A
337	16	6582.976	1	13	1	8	B
338	16	6981.976	1	27	1	7	B
339	4	7360.0	0	0	1	9	A
340	4	5338.0	0	0	0	7	A
341	12	9246.976	1	3	1	6	B
342	2	3646.0	0	0	0	7	A
343	4	4205.0	0	0	0	4	A
344	13	5883.976	0	0	1	9	B
345	2	5981.0	1	11	1	8	A
346	13	5680.976	1	2	1	6	B
347	13	5060.976	1	17	1	8	B
348	3	8989.0	0	0	1	9	A
349	16	6297.976	0	0	1	6	B
350	2	5354.0	0	0	1	8	A
351	4	8634.0	1	27	1	5	A
352	8	5495.0	0	0	0	7	A
353	2	6014.0	0	0	0	3	A
354	5	7123.0	0	0	1	7	A
355	1	4446.0	1	1	1	8	A
356	7	7332.0	1	0	1	6	A
357	3	4038.0	1	39	1	9	A
358	15	6264.976	0	0	1	6	B
359	10	9178.976	0	0	0	8	B
360	13	9355.976	0	0	1	6	B
361	5	5348.0	1	0	0	7	A
362	10	3269.976	0	0	1	8	B
363	10	7428.976	1	48	1	3	B
364	12	5375.976	0	0	1	9	B
365	16	6944.976	0	0	1	8	B
366	14	6067.976	1	6	1	9	B
367	12	4719.976	1	9	1	4	B
368	13	8720.976	0	0	0	4	B
369	6	5849.0	1	12	0	8	A
370	13	7217.976	0	0	1	6	B
371	6	3443.0	1	4	0	5	A
372	7	6576.0	0	0	0	8	A
373	3	8963.0	0	0	0	5	A
374	10	8869.976	0	0	1	8	B
375	3	4085.0	1	2	0	8	A
376	8	6616.0	1	36	1	6	A
377	5	5927.0	1	5	0	9	A
378	10	5721.976	1	3	1	7	B
379	14	9872.976	1	4	1	7	B
380	4	8025.0	0	0	1	8	A
381	15	6222.976	0	0	1	7	B
382	6	6139.0	1	8	0	6	A
383	14	4291.976	0	0	1	9	B
384	6	5503.0	0	0	1	9	A
385	4	3772.0	0	0	1	6	A
386	8	6794.0	1	0	0	8	A
387	4	5379.0	1	10	1	9	A
388	15	7702.976	0	0	1	8	B
389	3	7178.0	0	0	0	6	A
390	8	4975.0	1	21	1	6	A
391	11	9857.976	0	0	1	5	B
392	10	6567.976	1	18	1	9	B
393	9	3534.976	1	34	1	9	B
394	16	5779.976	1	15	1	5	B
395	9	5368.976	0	0	0	6	B
396	3	7387.0	0	0	0	2	A
397	2	2262.0	1	1	1	8	A
398	4	3490.0	1	3	1	6	A
399	1	8446.0	1	18	0	6	A
400	2	7500.0	0	0	0	2	A
401	11	1968.976	0	0	0	1	B
402	13	4447.976	1	0	1	7	B
403	4	4296.0	1	7	0	9	A
404	11	8512.976	1	7	1	9	B
405	15	4739.976	0	0	1	6	B
406	15	4258.976	1	6	1	6	B
407	4	5094.0	1	9	1	7	A
408	5	10545.0	1	17	1	8	A
409	10	7243.976	0	0	1	9	B
410	1	5162.0	0	0	1	8	A
411	2	7737.0	1	4	1	9	A
412	6	4734.0	0	0	1	9	A
413	13	6636.976	1	5	0	8	B
414	15	8060.976	0	0	0	4	B
415	14	7281.976	1	2	1	6	B
416	7	7821.0	1	6	1	8	A
417	3	7865.0	0	0	1	7	A
418	14	8774.976	1	18	1	8	B
419	6	6735.0	0	0	1	9	A
420	4	3304.0	1	8	1	9	A
421	15	8059.976	0	0	1	8	B
422	5	5786.0	1	6	1	9	A
423	13	6247.976	1	0	1	9	B
424	16	8777.976	0	0	0	9	B
425	6	3704.0	0	0	0	5	A
426	8	7401.0	1	2	1	9	A
427	8	8248.0	1	7	1	8	A
428	10	8167.976	0	0	1	5	B
429	15	6910.976	1	2	1	7	B
430	5	7007.0	0	0	0	9	A
431	13	7885.976	0	0	0	8	B
432	14	3706.976	0	0	1	6	B
433	14	7955.976	0	0	1	7	B
434	9	7837.976	1	10	0	8	B
435	12	8186.976	0	0	1	7	B
436	3	3614.0	1	15	1	8	A
437	9	5134.976	0	0	1	9	B
438	13	7837.976	1	6	1	7	B
439	2	8583.0	0	0	1	5	A
440	3	4870.0	1	2	0	3	A
441	11	7866.976	0	0	1	8	B
442	12	9749.976	1	6	1	9	B
443	12	5159.976	0	0	0	2	B
444	7	7589.0	0	0	1	6	A
445	3	5140.0	0	0	1	6	A
446	1	3790.0	1	13	1	8	A
447	2	5284.0	1	0	0	9	A
448	3	7363.0	0	0	1	9	A
449	5	5674.0	0	0	0	8	A
450	9	3721.976	1	19	1	6	B
451	16	6306.976	1	1	1	6	B
452	1	5364.0	0	0	1	8	A
453	14	6011.976	1	9	1	8	B
454	13	3608.976	1	0	1	9	B
455	16	9305.976	0	0	1	8	B
456	16	4721.976	0	0	0	9	B
457	15	6357.976	1	1	0	6	B
458	12	8343.976	1	3	0	5	B
459	12	6171.976	0	0	1	6	B
460	1	4117.0	0	0	0	4	A
461	9	7621.976	1	15	0	8	B
462	9	6574.976	1	1	0	6	B
463	7	5308.0	1	4	0	6	A
464	16	7039.976	0	0	1	9	B
465	5	3525.0	0	0	0	9	A
466	13	3148.976	0	0	1	5	B
467	6	6331.0	1	8	0	7	A
468	3	4318.0	0	0	1	5	A
469	9	6565.976	0	0	0	9	B
470	6	8107.0	0	0	1	9	A
471	3	4927.0	0	0	1	9	A
472	6	4592.0	0	0	1	5	A
473	5	5028.0	1	0	0	8	A
474	7	8610.0	0	0	0	2	A
475	12	9982.976	1	9	1	2	B
476	4	7542.0	1	14	1	8	A
477	7	10162.0	1	12	0	9	A
478	1	5965.0	1	0	1	8	A
479	8	6775.0	0	0	1	9	A
480	16	8388.976	0	0	0	1	B
481	8	5319.0	0	0	0	8	A
482	9	6406.976	0	0	0	4	B
483	8	5999.0	1	0	1	8	A
484	16	8030.976	1	3	1	4	B
485	2	7149.0	0	0	1	3	A
486	12	2144.976	0	0	1	5	B
487	14	6670.976	0	0	0	7	B
488	1	5328.0	0	0	1	8	A
489	11	7754.976	0	0	1	8	B
490	1	7520.0	0	0	0	8	A
491	5	6158.0	0	0	0	9	A
492	4	4727.0	0	0	1	8	A
493	1	6714.0	0	0	1	7	A
494	10	7463.976	0	0	1	6	B
495	15	4254.976	0	0	0	9	B
496	13	4536.976	0	0	0	3	B
497	11	7436.976	1	1	1	9	B
498	12	3487.976	0	0	1	5	B
499	12	5588.976	1	1	1	4	B
500	7	5251.0	0	0	1	9	A
501	9	7954.976	0	0	1	8	B
502	14	4260.976	0	0	1	4	B
503	1	3858.0	1	0	1	7	A
504	16	5714.976	0	0	1	4	B
505	8	5520.0	0	0	0	8	A
506	8	7934.0	0	0	1	9	A
507	10	8966.976	0	0	1	9	B
508	14	6920.976	0	0	1	5	B
509	15	4024.976	0	0	1	6	B
510	6	5321.0	1	2	0	7	A
511	2	6303.0	1	4	0	9	A
512	1	4924.0	0	0	1	9	A
513	9	7119.976	1	1	1	9	B
514	7	5413.0	1	0	1	0	A
515	6	8285.0	0	0	0	5	A
516	15	8776.976	0	0	0	3	B
517	13	7893.976	1	16	1	4	B
518	14	3857.976	0	0	1	2	B
519	13	5698.976	0	0	1	9	B
520	15	10068.976	1	8	1	8	B
521	1	2348.0	1	13	1	9	A
522	16	3728.976	0	0	1	4	B
523	6	3945.0	1	3	1	8	A
524	4	5502.0	0	0	0	5	A
525	13	7267.976	0	0	0	8	B
526	1	4018.0	0	0	0	1	A
527	16	7595.976	0	0	1	2	B
528	12	9483.976	1	18	0	8	B
529	5	7467.0	0	0	1	8	A
530	16	6197.976	0	0	0	9	B
531	10	4380.976	1	2	1	8	B
532	15	4213.976	0	0	1	9	B
533	6	7421.0	0	0	0	6	A
534	3	5407.0	0	0	1	6	A
535	15	6449.976	1	8	0	9	B
536	5	7135.0	0	0	1	9	A
537	6	4236.0	1	6	0	9	A
538	14	8252.976	1	5	1	6	B
539	10	8178.976	1	4	1	8	B
540	14	9774.976	0	0	0	9	B
541	14	7602.976	0	0	0	6	B
542	1	7717.0	0	0	1	6	A
543	3	4657.0	0	0	0	9	A
544	14	5258.976	1	10	0	7	B
545	3	6180.0	0	0	1	2	A
546	11	8967.976	1	4	1	9	B
547	13	8305.976	0	0	1	9	B
548	7	6018.0	1	42	1	8	A
549	2	8088.0	0	0	1	9	A
550	1	5402.0	1	3	0	8	A
551	11	6106.976	1	2	1	5	B
552	11	4639.976	0	0	1	6	B
553	5	5982.0	0	0	0	9	A
554	1	7928.0	1	16	1	7	A
555	9	8760.976	0	0	1	7	B
556	5	4495.0	0	0	0	4	A
557	2	7544.0	0	0	0	8	A
558	7	3760.0	1	11	0	9	A
559	12	5332.976	1	45	0	2	B
560	10	5167.976	1	3	0	8	B
561	13	8186.976	0	0	1	4	B
562	6	4064.0	0	0	0	9	A
563	8	6711.0	0	0	1	3	A
564	13	7969.976	1	23	0	4	B
565	4	8042.0	1	6	0	7	A
566	16	2255.976	1	2	1	5	B
567	9	6876.976	1	1	1	8	B
568	2	3938.0	1	10	1	8	A
569	16	5365.976	0	0	1	5	B
570	2	7669.0	0	0	0	5	A
571	10	4481.976	0	0	1	5	B
572	15	6177.976	1	0	0	8	B
573	9	6992.976	1	5	1	6	B
574	11	5652.976	0	0	1	8	B
575	14	8866.976	0	0	0	7	B
576	4	5503.0	0	0	0	6	A
577	9	7030.976	0	0	1	7	B
578	13	5599.976	1	4	0	7	B
579	13	6585.976	0	0	1	9	B
580	1	7479.0	0	0	0	9	A
581	2	5675.0	0	0	1	6	A
582	12	8480.976	1	4	1	8	B
583	6	6287.0	0	0	0	7	A
584	1	7166.0	1	4	0	8	A
585	11	6989.976	0	0	0	9	B
586	12	7812.976	0	0	1	8	B
587	1	3353.0	1	6	0	4	A
588	6	8087.0	0	0	1	6	A
589	16	4109.976	0	0	1	7	B
590	15	4841.976	1	12	0	6	B
591	1	7880.0	1	0	1	8	A
592	6	4740.0	0	0	1	7	A
593	3	5557.0	1	21	1	6	A
594	16	10050.976	1	1	1	9	B
595	14	6113.976	1	6	1	6	B
596	8	5763.0	1	36	0	7	A
597	13	3083.976	0	0	1	4	B
598	15	8383.976	1	6	1	5	B
599	10	5950.976	0	0	1	9	B
600	3	7273.0	0	0	1	7	A
601	10	4211.976	0	0	1	8	B
602	15	8602.976	1	1	1	7	B
603	3	7282.0	1	17	0	7	A
604	13	7466.976	0	0	0	9	B
605	9	4872.976	0	0	1	6	B
606	3	6831.0	0	0	1	4	A
607	2	7461.0	1	30	1	6	A
608	8	7638.0	0	0	0	5	A
609	11	7274.976	0	0	0	8	B
610	11	7586.976	0	0	1	3	B
611	3	7838.0	0	0	1	9	A
612	5	6143.0	1	0	0	9	A
613	3	5314.0	0	0	0	8	A
614	4	6724.0	1	4	1	9	A
615	16	5214.976	0	0	1	9	B
616	15	4189.976	1	17	1	8	B
617	7	5282.0	0	0	1	8	A
618	12	7968.976	1	50	1	6	B
619	7	6570.0	1	16	0	6	A
620	2	5337.0	0	0	1	4	A
621	11	5385.976	0	0	1	9	B
622	10	8484.976	1	4	1	9	B
623	2	5971.0	1	1	0	4	A
624	5	5639.0	1	13	1	5	A
625	4	3788.0	0	0	1	7	A
626	16	7584.976	0	0	0	6	B
627	6	2363.0	0	0	1	6	A
628	12	6858.976	1	5	1	7	B
629	11	10031.976	0	0	0	7	B
630	1	7044.0	0	0	1	3	A
631	8	3491.0	0	0	1	9	A
632	12	5370.976	0	0	0	9	B
633	16	9479.976	0	0	1	5	B
634	5	7245.0	0	0	1	7	A
635	1	5751.0	1	5	1	3	A
636	16	6454.976	0	0	1	7	B
637	15	8086.976	1	20	1	8	B
638	12	5035.976	0	0	1	9	B
639	6	7530.0	0	0	0	7	A
640	4	8871.0	1	17	0	8	A
641	16	7376.976	0	0	1	7	B
642	11	6631.976	0	0	1	6	B
643	15	5666.976	1	0	1	5	B
644	7	6642.0	1	18	0	9	A
645	8	5462.0	0	0	1	8	A
646	8	6239.0	0	0	1	8	A
647	13	5095.976	1	4	1	9	B
648	12	6887.976	1	0	1	7	B
649	10	5304.976	0	0	1	9	B
650	14	6003.976	0	0	0	9	B
651	7	6498.0	0	0	1	9	A
652	6	4013.0	0	0	1	8	A
653	15	5103.976	1	11	1	9	B
654	2	3995.0	0	0	1	9	A
655	15	6897.976	0	0	1	8	B
656	16	5061.976	1	5	0	8	B
657	16	8119.976	1	4	1	8	B
658	3	7143.0	0	0	1	9	A
659	2	5983.0	0	0	0	7	A
660	12	8446.976	1	15	1	4	B
661	9	7901.976	1	9	1	7	B
662	6	5163.0	1	0	1	7	A
663	11	6377.976	0	0	1	7	B
664	14	7590.976	1	21	1	9	B
665	8	5019.0	1	11	0	8	A
666	13	5995.976	0	0	0	8	B
667	13	7093.976	1	3	1	3	B
668	15	8532.976	1	3	0	8	B
669	15	6007.976	1	0	1	6	B
670	5	5318.0	1	1	0	9	A
671	9	8138.976	0	0	1	9	B
672	2	7323.0	0	0	1	8	A
673	16	6820.976	0	0	1	8	B
674	1	7512.0	1	11	0	7	A
675	12	10233.976	0	0	1	9	B
676	14	8434.976	1	12	1	6	B
677	9	6842.976	0	0	1	6	B
678	11	7103.976	1	1	1	8	B
679	11	3962.976	1	0	1	8	B
680	11	4507.976	1	6	0	9	B
681	5	5809.0	1	0	1	9	A
682	5	3853.0	0	0	0	9	A
683	12	8536.976	1	13	1	9	B
684	13	6129.976	1	14	1	7	B
685	7	5650.0	0	0	0	5	A
686	2	2549.0	0	0	0	9	A
687	15	5404.976	0	0	0	8	B
688	2	5228.0	1	12	1	9	A
689	10	6634.976	0	0	1	3	B
690	10	7197.976	0	0	1	5	B
691	3	6905.0	1	13	1	9	A
692	13	7506.976	0	0	1	6	B
693	10	5262.976	0	0	0	6	B
694	5	4845.0	1	4	1	7	A
695	9	5588.976	0	0	1	7	B
696	5	4673.0	0	0	1	6	A
697	10	3700.976	1	2	0	8	B
698	1	8390.0	0	0	1	9	A
699	4	8572.0	0	0	1	6	A
700	11	6163.976	0	0	1	7	B
701	16	8050.976	0	0	0	4	B
702	11	5555.976	1	2	0	6	B
703	10	4814.976	1	16	1	9	B
704	13	5923.976	1	3	1	8	B
705	8	4398.0	0	0	1	6	A
706	4	6103.0	0	0	0	7	A
707	9	7027.976	1	3	1	4	B
708	4	6404.0	0	0	0	6	A
709	2	6715.0	1	23	0	5	A
710	8	6096.0	0	0	1	7	A
711	4	5982.0	0	0	1	6	A
712	11	6213.976	1	1	0	7	B
713	10	5540.976	1	0	0	9	B
714	11	5676.976	1	10	1	6	B
715	3	4592.0	0	0	0	8	A
716	5	6443.0	0	0	0	9	A
717	1	5108.0	0	0	1	9	A
718	12	4827.976	1	11	1	6	B
719	7	7077.0	0	0	1	9	A
720	4	5162.0	0	0	1	9	A
721	13	7192.976	1	11	1	9	B
722	3	7365.0	0	0	1	9	A
723	7	6690.0	1	4	1	9	A
724	1	9818.0	0	0	0	7	A
725	3	1788.0	0	0	0	5	A
726	8	2299.0	1	2	1	8	A
727	2	6882.0	1	27	1	9	A
728	5	5024.0	1	8	1	3	A
729	9	6332.976	1	11	1	7	B
730	2	8195.0	1	17	0	3	A
731	6	4163.0	0	0	0	7	A
732	8	6594.0	1	3	1	7	A
